2020-01-01	Яковлев Наталья	13101
2020-01-01	Тихонов Сергей	7049
2020-01-01	Степанов Сергей	29398
2020-01-01	Семенов Анна	16185
2020-01-01	Семенов Андрей	46150
2020-01-01	Петров Ольга	14850
2020-01-01	Петров Виктория	32327
2020-01-01	Петров Анна	24989
2020-01-01	Орлов Михаил	49045
2020-01-01	Новиков Михаил	28656
2020-01-01	Николаев Татьяна	19047
2020-01-01	Николаев Анна	7647
2020-01-01	Морозов Анна	32321
2020-01-01	Михайлов Максим	34489
2020-01-01	Макаров Юлия	3807
2020-01-01	Макаров Михаил	19811
2020-01-01	Макаров Егор	31151
2020-01-01	Кузнецов Егор	12304
2020-01-01	Иванов Егор	24211
2020-01-01	Григорьев Александр	42353
2020-01-01	Васильев Юлия	11798
2020-01-01	Борисов София	33109
2020-01-01	Борисов Михаил	31159
2020-01-01	Алексеев Мария	41265
2020-01-02	Степанов Наталья	18698
2020-01-02	Соловьёв София	22168
2020-01-02	Смирнов Анна	8617
2020-01-02	Смирнов Андрей	25103
2020-01-02	Петров Екатерина	40265
2020-01-02	Новиков Максим	40723
2020-01-02	Николаев Александр	34190
2020-01-02	Михайлов Иван	5985
2020-01-02	Макаров Максим	38229
2020-01-02	Карпов София	47088
2020-01-02	Карпов Михаил	45220
2020-01-02	Иванов Егор	18031
2020-01-02	Зайцев Наталья	29367
2020-01-02	Гусев Александр	25054
2020-01-02	Григорьев Екатерина	3325
2020-01-02	Волков Сергей	13767
2020-01-02	Васильев Юлия	14643
2020-01-02	Васильев София	39411
2020-01-02	Васильев Иван	17277
2020-01-02	Борисов София	31613
2020-01-02	Алексеев Мария	5724
2020-01-03	Фёдоров Юлия	43183
2020-01-03	Фёдоров Мария	3107
2020-01-03	Фёдоров Дмитрий	262
2020-01-03	Тихонов Михаил	16123
2020-01-03	Соколов Елена	36155
2020-01-03	Сидоров Ольга	851
2020-01-03	Семенов Наталья	43755
2020-01-03	Семенов Елена	3057
2020-01-03	Попов Наталья	8232
2020-01-03	Петров Екатерина	37388
2020-01-03	Николаев Максим	49849
2020-01-03	Морозов Мария	14213
2020-01-03	Михайлов Елена	45037
2020-01-03	Макаров Андрей	44268
2020-01-03	Лебедев Наталья	37310
2020-01-03	Карпов Александр	19812
2020-01-03	Зайцев Максим	7545
2020-01-03	Гусев Дмитрий	46162
2020-01-03	Волков Максим	43752
2020-01-03	Волков Андрей	36785
2020-01-03	Волков Александр	19268
2020-01-03	Борисов Ольга	25823
2020-01-03	Борисов Мария	12426
2020-01-04	Яковлев Ольга	38079
2020-01-04	Тихонов Наталья	45642
2020-01-04	Соловьёв Иван	13325
2020-01-04	Смирнов Екатерина	9459
2020-01-04	Семенов Дмитрий	42165
2020-01-04	Попов Мария	5138
2020-01-04	Попов Екатерина	163
2020-01-04	Николаев Юлия	22457
2020-01-04	Николаев Александр	24040
2020-01-04	Морозов Андрей	28964
2020-01-04	Михайлов Виктория	39554
2020-01-04	Макаров София	15154
2020-01-04	Макаров Екатерина	25296
2020-01-04	Макаров Екатерина	42056
2020-01-04	Лебедев Сергей	8965
2020-01-04	Кузнецов Мария	11664
2020-01-04	Кузнецов Андрей	43302
2020-01-04	Иванов Анна	16567
2020-01-04	Егоров Виктория	47339
2020-01-04	Волков Никита	37774
2020-01-04	Волков Дмитрий	522
2020-01-04	Васильев Сергей	13131
2020-01-05	Соловьёв Татьяна	17352
2020-01-05	Смирнов София	42741
2020-01-05	Смирнов Иван	48449
2020-01-05	Семенов Наталья	362
2020-01-05	Петров Юлия	17421
2020-01-05	Новиков Елена	18720
2020-01-05	Морозов Татьяна	9619
2020-01-05	Михайлов Сергей	8663
2020-01-05	Кузнецов Михаил	4000
2020-01-05	Кузнецов Иван	12636
2020-01-05	Карпов Иван	12081
2020-01-05	Зайцев Татьяна	1145
2020-01-05	Егоров Наталья	21394
2020-01-05	Григорьев София	18546
2020-01-05	Алексеев София	11629
2020-01-05	Алексеев Наталья	37989
2020-01-05	Алексеев Дмитрий	43272
2020-01-06	Фёдоров Екатерина	34274
2020-01-06	Соколов Сергей	31487
2020-01-06	Соколов Максим	40003
2020-01-06	Семенов Никита	29669
2020-01-06	Попов София	11695
2020-01-06	Попов Наталья	33970
2020-01-06	Петров Иван	4895
2020-01-06	Петров Иван	14355
2020-01-06	Орлов Михаил	46872
2020-01-06	Морозов Михаил	8476
2020-01-06	Михайлов Андрей	42491
2020-01-06	Макаров Андрей	41184
2020-01-06	Лебедев Максим	25377
2020-01-06	Лебедев Дмитрий	35583
2020-01-06	Кузнецов Иван	33326
2020-01-06	Иванов Юлия	45174
2020-01-06	Егоров София	47709
2020-01-06	Егоров Ольга	8234
